Job Name,Company,Salary,Link
Technical Lead,DBChain (1-5 Staff),"$3,500 - $10,000 / month",https://www.dejob.top/jobDetail?id=2133
Product Manager,Tabi (30+ Staff),"$2,800 - $4,200 / month",https://www.dejob.top/jobDetail?id=2132
Research Analyst,SynFutures Protocol (30+ Staff),"$1 - $10,000 / month",https://www.dejob.top/jobDetail?id=2131
Business Development,GMGN (100+ Staff),"$500 - $3,000 / month",https://www.dejob.top/jobDetail?id=2130
Product Manager,Unlimited Stack (10+ Staff),"$500 - $1,000 / month",https://www.dejob.top/jobDetail?id=2129
Volunteer,Gate io  (100+ Staff),$1 - $1 / month,https://www.dejob.top/jobDetail?id=2128
Business Development Associate,EZswap Protocol (5+ Staff),$480 - $600 / month,https://www.dejob.top/jobDetail?id=2127
Operations Associate,MEXC (100+ Staff),"$1,000 - $1,000 / month",https://www.dejob.top/jobDetail?id=2126
Project lead,CTH Group (100+ Staff),"$8,000 - $15,000 / month",https://www.dejob.top/jobDetail?id=2125
HRBP,MEXC (100+ Staff),"$3,000 - $3,500 / month",https://www.dejob.top/jobDetail?id=2122
Business Development,EFAS (10+ Staff),"$2,000 - $4,000 / month",https://www.dejob.top/jobDetail?id=2120
Smart Contract Engineer,Jito Labs (10+ Staff),"$12,500 - $16,700 / month",https://www.dejob.top/jobDetail?id=2119
Community Manager,Zeta Markets (10+ Staff),"$2,500 - $6,000 / month",https://www.dejob.top/jobDetail?id=2118
Smart Contract Engineer,Grass (10+ Staff),"$7,900 - $13,000 / month",https://www.dejob.top/jobDetail?id=2117
HR Manager,MEXC (100+ Staff),"$1,000 - $1,500 / month",https://www.dejob.top/jobDetail?id=2116
UI/UX Interface Designer,Rollie Finance (5+ Staff),"$3,000 - $4,000 / month",https://www.dejob.top/jobDetail?id=2115
Development Engineer,Zapry (10+ Staff),"$3,000 - $6,000 / month",https://www.dejob.top/jobDetail?id=2114
Project Operation,SoonVerse (10+ Staff),"$1,500 - $3,000 / month",https://www.dejob.top/jobDetail?id=2113
Head of Operations,CoinW Exchange (30+ Staff),"$7,000 - $10,000 / month",https://www.dejob.top/jobDetail?id=2112
Business Manager,MiixCapital (10+ Staff),"$3,000 - $5,000 / month",https://www.dejob.top/jobDetail?id=2111
CEO,NobelDao (30+ Staff),"$5,000 - $10,000 / month",https://www.dejob.top/jobDetail?id=2110
Software Engineer,Orca  (30+ Staff),"$1 - $20,000 / month",https://www.dejob.top/jobDetail?id=2109
Integration Engineer,Coinflow Labs (10+ Staff),"$8,000 - $12,500 / month",https://www.dejob.top/jobDetail?id=2108
Development Engineer,FameEX (100+ Staff),"$5,000 - $7,000 / month",https://www.dejob.top/jobDetail?id=2104
Compliance Associate,Cobo (100+ Staff),"$1 - $2,000 / month",https://www.dejob.top/jobDetail?id=2103
Public Relations Manager,Cobo (100+ Staff),"$4,000 - $7,000 / month",https://www.dejob.top/jobDetail?id=2102
Account Executive,Cobo (100+ Staff),"$3,500 - $7,000 / month",https://www.dejob.top/jobDetail?id=2101
Sales Lead,Cobo (100+ Staff),"$6,000 - $12,000 / month",https://www.dejob.top/jobDetail?id=2100
Compliance Officer,Cobo (100+ Staff),"$1,000 - $5,000 / month",https://www.dejob.top/jobDetail?id=2099
